class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,38,5,14,0,0,1,15,0,1,0
displaced_people_and_evacuations,9,238,3,1,1,0,1,2,8,3
infrastructure_and_utility_damage,0,3,158,1,0,6,4,0,1,3
injured_or_dead_people,0,0,0,0,0,0,0,0,0,0
missing_or_found_people,0,0,0,0,0,0,0,0,0,0
not_humanitarian,2,3,2,0,1,34,9,1,0,3
other_relevant_information,22,6,58,0,1,26,73,3,17,12
requests_or_urgent_needs,0,0,0,0,0,2,0,9,2,1
rescue_volunteering_or_donation_effort,1,18,12,0,0,13,29,11,562,7
sympathy_and_support,2,2,0,0,0,0,0,0,5,104
