class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,61,1,10,3,0,5,17,0,0,0
displaced_people_and_evacuations,12,208,6,4,0,4,1,6,9,8
infrastructure_and_utility_damage,0,21,214,26,2,11,8,4,2,7
injured_or_dead_people,2,29,34,1215,27,23,4,1,1,26
missing_or_found_people,1,2,0,25,95,0,0,0,0,2
not_humanitarian,16,18,71,41,1,634,69,11,5,57
other_relevant_information,40,27,135,31,2,263,157,9,14,49
requests_or_urgent_needs,0,0,1,0,2,2,1,28,17,4
rescue_volunteering_or_donation_effort,5,25,11,22,12,32,53,43,749,39
sympathy_and_support,8,7,3,3,1,4,3,1,26,274
