class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,67,0,2,3,0,24,0,1,0,0
displaced_people_and_evacuations,18,191,5,7,0,13,0,6,11,7
infrastructure_and_utility_damage,3,15,197,29,0,41,0,2,2,6
injured_or_dead_people,2,7,25,1247,18,44,0,0,2,17
missing_or_found_people,1,1,0,36,85,1,0,0,0,1
not_humanitarian,11,12,17,24,1,831,0,3,3,21
other_relevant_information,55,23,71,26,2,506,0,6,12,26
requests_or_urgent_needs,1,0,0,0,2,5,0,24,19,4
rescue_volunteering_or_donation_effort,12,16,12,19,13,91,1,39,763,25
sympathy_and_support,8,6,4,5,0,24,0,0,29,254
