event,split,run_dir,predictions_csv,macro_f1,accuracy,num_total,mode
canada_wildfires_2016,test,runs\canada_wildfires_2016\test\gpt-4o\20251104-010418-modeS-gpt-4o-RULES1-filtered-sharded3,runs\canada_wildfires_2016\test\gpt-4o\20251104-010418-modeS-gpt-4o-RULES1-filtered-sharded3\predictions.csv,0.672588795143568,0.7865168539325843,445,sharded3
kaikoura_earthquake_2016,test,runs\kaikoura_earthquake_2016\test\gpt-4o\20251104-011928-modeS-gpt-4o-RULES1-filtered-sharded3,runs\kaikoura_earthquake_2016\test\gpt-4o\20251104-011928-modeS-gpt-4o-RULES1-filtered-sharded3\predictions.csv,0.7268206053160724,0.7402298850574712,435,sharded3
cyclone_idai_2019,test,runs\cyclone_idai_2019\test\gpt-4o\20251104-013437-modeS-gpt-4o-RULES1-filtered-sharded5,runs\cyclone_idai_2019\test\gpt-4o\20251104-013437-modeS-gpt-4o-RULES1-filtered-sharded5\predictions.csv,0.6405069791471826,0.7535301668806161,779,sharded5
hurricane_florence_2018,test,runs\hurricane_florence_2018\test\gpt-4o\20251104-023000-modeS-gpt-4o-RULES1-filtered-sharded8,runs\hurricane_florence_2018\test\gpt-4o\20251104-023000-modeS-gpt-4o-RULES1-filtered-sharded8\predictions.csv,0.7072565565230906,0.7687348912167606,1241,sharded8
hurricane_maria_2017,test,runs\hurricane_maria_2017\test\gpt-4o\20251104-031023-modeS-gpt-4o-RULES1-filtered-sharded9,runs\hurricane_maria_2017\test\gpt-4o\20251104-031023-modeS-gpt-4o-RULES1-filtered-sharded9\predictions.csv,0.6340953337964166,0.6671289875173371,1442,sharded9
california_wildfires_2018,test,runs\california_wildfires_2018\test\gpt-4o\20251104-042558-modeS-gpt-4o-RULES1-filtered-sharded10,runs\california_wildfires_2018\test\gpt-4o\20251104-042558-modeS-gpt-4o-RULES1-filtered-sharded10\predictions.csv,0.6286380171450325,0.7125256673511293,1461,sharded10
hurricane_dorian_2019,test,runs\hurricane_dorian_2019\test\gpt-4o\20251104-054636-modeS-gpt-4o-RULES1-filtered-sharded10,runs\hurricane_dorian_2019\test\gpt-4o\20251104-054636-modeS-gpt-4o-RULES1-filtered-sharded10\predictions.csv,0.5981730318107534,0.6372679045092838,1508,sharded10
kerala_floods_2018,test,ERROR,,,,0,sharded10
hurricane_harvey_2017,test,ERROR,,,,0,sharded11
hurricane_irma_2017,test,runs\hurricane_irma_2017\test\gpt-4o\20251104-073738-modeS-gpt-4o-RULES1-filtered-sharded12,runs\hurricane_irma_2017\test\gpt-4o\20251104-073738-modeS-gpt-4o-RULES1-filtered-sharded12\predictions.csv,0.61724611725105,0.6348012889366272,1862,sharded12
