event,split,run_dir,predictions_csv,macro_f1,accuracy,num_total,mode
canada_wildfires_2016,test,ERROR,,,,0,sharded3
kaikoura_earthquake_2016,test,runs\kaikoura_earthquake_2016\test\gpt-4o\20251106-213847-modeS-gpt-4o-RULES2-filtered-sharded3,runs\kaikoura_earthquake_2016\test\gpt-4o\20251106-213847-modeS-gpt-4o-RULES2-filtered-sharded3\predictions.csv,0.743671005208555,0.7379310344827587,435,sharded3
cyclone_idai_2019,test,runs\cyclone_idai_2019\test\gpt-4o\20251106-215358-modeS-gpt-4o-RULES2-filtered-sharded6,runs\cyclone_idai_2019\test\gpt-4o\20251106-215358-modeS-gpt-4o-RULES2-filtered-sharded6\predictions.csv,0.6228721108400883,0.7291399229781772,779,sharded6
hurricane_florence_2018,test,runs\hurricane_florence_2018\test\gpt-4o\20251106-223925-modeS-gpt-4o-RULES2-filtered-sharded9,runs\hurricane_florence_2018\test\gpt-4o\20251106-223925-modeS-gpt-4o-RULES2-filtered-sharded9\predictions.csv,0.6813464342860577,0.7526188557614827,1241,sharded9
hurricane_maria_2017,test,runs\hurricane_maria_2017\test\gpt-4o\20251106-232450-modeS-gpt-4o-RULES2-filtered-sharded10,runs\hurricane_maria_2017\test\gpt-4o\20251106-232450-modeS-gpt-4o-RULES2-filtered-sharded10\predictions.csv,0.6253986964787887,0.6539528432732317,1442,sharded10
california_wildfires_2018,test,runs\california_wildfires_2018\test\gpt-4o\20251107-010034-modeS-gpt-4o-RULES2-filtered-sharded10,runs\california_wildfires_2018\test\gpt-4o\20251107-010034-modeS-gpt-4o-RULES2-filtered-sharded10\predictions.csv,0.6095066468096397,0.6974674880219028,1461,sharded10
hurricane_dorian_2019,test,runs\hurricane_dorian_2019\test\gpt-4o\20251107-022110-modeS-gpt-4o-RULES2-filtered-sharded11,runs\hurricane_dorian_2019\test\gpt-4o\20251107-022110-modeS-gpt-4o-RULES2-filtered-sharded11\predictions.csv,0.5974231517843572,0.6352785145888594,1508,sharded11
kerala_floods_2018,test,runs\kerala_floods_2018\test\gpt-4o\20251107-031649-modeS-gpt-4o-RULES2-filtered-sharded11,runs\kerala_floods_2018\test\gpt-4o\20251107-031649-modeS-gpt-4o-RULES2-filtered-sharded11\predictions.csv,0.5694106394248029,0.6978508217446271,1582,sharded11
hurricane_harvey_2017,test,runs\hurricane_harvey_2017\test\gpt-4o\20251107-044727-modeS-gpt-4o-RULES2-filtered-sharded12,runs\hurricane_harvey_2017\test\gpt-4o\20251107-044727-modeS-gpt-4o-RULES2-filtered-sharded12\predictions.csv,0.6136874270888965,0.6554016620498615,1805,sharded12
hurricane_irma_2017,test,runs\hurricane_irma_2017\test\gpt-4o\20251107-063325-modeS-gpt-4o-RULES2-filtered-sharded12,runs\hurricane_irma_2017\test\gpt-4o\20251107-063325-modeS-gpt-4o-RULES2-filtered-sharded12\predictions.csv,0.614657161694911,0.6229860365198711,1862,sharded12
