class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,28,6,15,0,0,1,23,0,1,0
displaced_people_and_evacuations,7,238,5,1,1,0,4,3,5,2
infrastructure_and_utility_damage,0,3,158,1,0,5,6,0,1,2
injured_or_dead_people,0,0,0,0,0,0,0,0,0,0
missing_or_found_people,0,0,0,0,0,0,0,0,0,0
not_humanitarian,0,4,2,0,0,34,12,1,0,2
other_relevant_information,19,6,55,0,1,20,88,2,13,14
requests_or_urgent_needs,0,0,0,0,0,2,0,10,1,1
rescue_volunteering_or_donation_effort,1,19,12,0,1,15,47,12,523,23
sympathy_and_support,2,2,0,0,0,0,0,0,3,106
