class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,56,1,12,6,0,5,17,0,0,0
displaced_people_and_evacuations,10,208,7,5,1,4,1,8,7,7
infrastructure_and_utility_damage,1,20,216,24,1,8,13,5,1,6
injured_or_dead_people,1,28,37,1225,20,14,2,1,1,33
missing_or_found_people,0,1,1,26,96,0,0,0,0,1
not_humanitarian,30,20,100,35,1,535,111,14,4,73
other_relevant_information,40,25,150,34,4,202,199,11,9,53
requests_or_urgent_needs,1,0,1,0,1,1,0,38,11,2
rescue_volunteering_or_donation_effort,5,32,22,22,14,17,56,57,704,62
sympathy_and_support,6,7,2,2,2,1,3,3,22,282
