class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,66,1,5,6,0,7,11,1,0,0
displaced_people_and_evacuations,11,211,4,4,0,3,0,5,13,7
infrastructure_and_utility_damage,1,19,206,31,0,14,10,5,2,7
injured_or_dead_people,1,30,16,1256,14,15,1,1,2,26
missing_or_found_people,1,1,0,30,92,0,0,0,0,1
not_humanitarian,23,20,54,41,1,656,51,10,4,63
other_relevant_information,53,26,107,32,3,298,132,12,11,53
requests_or_urgent_needs,0,0,2,0,1,1,0,28,21,2
rescue_volunteering_or_donation_effort,4,28,15,23,11,31,44,29,768,38
sympathy_and_support,8,9,3,5,1,3,2,1,35,263
