class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,64,1,3,5,0,9,15,0,0,0
displaced_people_and_evacuations,12,213,4,4,0,4,0,4,11,6
infrastructure_and_utility_damage,1,20,200,30,1,23,6,5,2,7
injured_or_dead_people,1,38,13,1237,20,25,1,0,2,25
missing_or_found_people,1,2,0,30,90,0,0,0,0,2
not_humanitarian,19,22,44,37,1,696,38,8,5,53
other_relevant_information,50,27,98,31,2,342,109,10,9,49
requests_or_urgent_needs,0,1,2,0,1,1,1,29,18,2
rescue_volunteering_or_donation_effort,4,31,11,23,10,39,44,32,760,37
sympathy_and_support,8,9,3,5,1,4,0,1,35,264
