class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,64,1,6,3,0,13,10,0,0,0
displaced_people_and_evacuations,13,205,5,5,0,5,1,7,10,7
infrastructure_and_utility_damage,0,22,197,29,0,30,4,4,2,7
injured_or_dead_people,2,22,21,1228,24,31,1,2,2,29
missing_or_found_people,1,2,0,25,95,0,1,0,0,1
not_humanitarian,8,15,38,30,1,737,27,11,4,52
other_relevant_information,35,23,101,24,2,397,76,8,13,48
requests_or_urgent_needs,0,0,1,0,2,3,1,28,16,4
rescue_volunteering_or_donation_effort,6,25,11,23,11,49,48,43,731,44
sympathy_and_support,6,8,1,3,1,10,2,0,25,274
