class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,50,1,15,3,0,6,21,1,0,0
displaced_people_and_evacuations,12,193,6,5,1,7,5,13,11,5
infrastructure_and_utility_damage,0,18,200,33,0,20,11,6,1,6
injured_or_dead_people,0,27,39,1219,18,29,9,5,1,15
missing_or_found_people,0,2,1,33,86,0,2,1,0,0
not_humanitarian,12,19,59,37,1,663,70,12,5,45
other_relevant_information,22,21,124,30,3,290,174,13,7,43
requests_or_urgent_needs,0,0,1,0,1,2,1,32,16,2
rescue_volunteering_or_donation_effort,2,18,15,23,11,31,58,44,756,33
sympathy_and_support,7,6,2,7,2,8,3,3,35,257
