class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,53,1,13,4,0,2,23,1,0,0
displaced_people_and_evacuations,10,202,5,6,1,4,7,9,9,5
infrastructure_and_utility_damage,0,18,209,32,1,8,14,6,1,6
injured_or_dead_people,1,17,49,1232,19,15,4,3,0,22
missing_or_found_people,0,0,1,33,87,0,2,1,0,1
not_humanitarian,17,19,95,44,1,510,155,13,4,65
other_relevant_information,22,24,142,36,3,180,251,12,9,48
requests_or_urgent_needs,0,0,2,0,2,1,1,36,11,2
rescue_volunteering_or_donation_effort,3,29,21,21,13,15,67,55,711,56
sympathy_and_support,7,8,3,7,2,1,6,2,25,269
