class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,39,5,14,0,0,3,12,0,1,0
displaced_people_and_evacuations,10,238,2,1,1,0,4,3,4,3
infrastructure_and_utility_damage,0,4,158,1,0,8,2,0,1,2
injured_or_dead_people,0,0,0,0,0,0,0,0,0,0
missing_or_found_people,0,0,0,0,0,0,0,0,0,0
not_humanitarian,1,4,2,0,0,41,6,1,0,0
other_relevant_information,20,6,54,0,1,42,66,2,14,13
requests_or_urgent_needs,0,0,0,0,0,2,0,10,1,1
rescue_volunteering_or_donation_effort,1,20,10,0,0,21,34,13,534,20
sympathy_and_support,3,2,0,0,0,0,0,0,3,105
