class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,65,1,4,6,0,8,12,1,0,0
displaced_people_and_evacuations,11,209,5,4,0,3,0,5,14,7
infrastructure_and_utility_damage,1,20,205,29,0,17,9,5,2,7
injured_or_dead_people,1,27,17,1257,13,19,1,0,2,25
missing_or_found_people,1,2,0,31,90,0,0,0,0,1
not_humanitarian,23,19,51,38,1,663,50,10,5,63
other_relevant_information,52,28,104,30,3,305,129,11,12,53
requests_or_urgent_needs,0,0,2,0,1,1,0,28,21,2
rescue_volunteering_or_donation_effort,4,28,14,24,11,30,47,29,767,37
sympathy_and_support,7,9,3,6,1,3,2,1,33,265
